page 3	THE Chief Justice of the Supreme Court at Singapore lately pronounced judgment in a case which attracted a good deal of attention there. It is not destitute of interest for Hongkong in view of the.
page 4	LOCAL.
page 4	THE YANCEY MURDER CASE.
page 4	THE BRIBERY CASE.
page 4	MR. T. T. COOPER'S JOURNEY.
page 4	H. I. M.'S Consul at Shanghai.
page 4	JOSEPH MARY THERUVEAU.
page 4	THE EARTHQUAKE IN SOUTH AMERICA.
page 4	THE FISHERMAN A FREEMASON.
page 4	GOLD IN CEYLON.
page 4	NEW ROUTE TO THE EAST.
