page 4	THERE is a popular saying to the effect that "Perseverance conquers all things," so we suppose that after the lapse of a few years the persistent communications addressed to leading home journals.
page 5	LOCAL.
page 5	TO-DAY'S POLICE.
page 5	THE NEW OPIUM QUESTION.
page 5	A GOLD FIELD IN CENTRAL ASIA.
page 5	DREADFUL ACCIDENT ON THE G. I. P. RAILWAY.
page 5	PROSECUTION OF THE DIRECTORS OF OVEREND,GURNEY AND CO.
page 5	THE LINE OF DEFENCE ADOPTED.
page 5	THE COMMERCIAL CODE OF SIGNALS.
page 6	THE NEW INFANTRY EQUIPMENT.
page 6	MISCELLANEOUS.
