page 4	AN analysis of the blus-book containing the commercial reports for the year 1875 from Her Majesty's Consuls in China, excepting at Shanghai, shows that the foreign trade at six out of the eleven potys for which returns are given exhibits an increase on the previous year --- namely, Canton, Swatow, Amoy, Tamsui and Keelung.
page 5	DISEASED MEAT.
page 5	BOATS IN SHORE.
page 5	SQUARING UP ACCOUNTS.
page 5	FOND OF PICTURES.
page 5	BAD COINS.
page 5	CHINA AFFAIRS AT HOME.
page 6	THE ARCTIC EXPEDITION.
page 6	MR. HAMLIN PASSES.
page 6	PRACTICAL SPIRITUALISM.
page 6	SELLING A WIFE.
page 6	A STRANGE STORY.
