page 2	THE case heard at the Police Court a few days ago, in which one of the leading Chinese merchants in the Colony Hu Chat Shang and a country-woman were charged with having detained a female child, seven years of age, is deserving of a little prominence.
page 4	SUPREME COURT.
page 4	IN SUMMARY JURISDICTION.
page 4	Police Intelligence.
page 4	UNLAWFUL POSSESSION.
page 4	LARCENY.
page 4	ASSAULTING THE POLICE.
page 4	STOLEN KISSES.
page 4	ALLEGED ASSAULE.
page 4	MANSLAUGHTER.
page 4	LOCUSTS.
page 4	THE QUEEN'S BIRTHDAY.
page 4	Manila.
page 4	THE INSURRECTION IN JAPAN.
page 4	NAVAL BOAT RACE AT YOKOHAMA.
