page 2	PRFESSOR Sheldon Amos, in delivering a lecture in London recently on British relations with the Chinese, is reported to have said that Hongkong has been converted into a hot-bed of legalised vice.
page 3	CHINA TRADERS' INSURANCE COMPANY, LIMITED.
page 3	A STRONG DOSE.
page 3	A NUISANCE.
page 3	RATHER VIOLENT.
page 3	DISTURBANCE IN A BROTHEL.
page 3	FELONIOUS INTENT.
page 3	UNLAWFUL POSSESSION.
page 3	A FELONIOUS FIND.
page 3	A NICE DETECTIVE.
page 3	INCORRIGIBLE "BUMMERS."
page 3	TELEGRAMS.
page 3	PROPOSED NEW PRISON RULES.
page 3	THE SEA SERPENT AGAIN.
