page 4	THE first number of the "Hongkong Catholic Register, a fortnightly newspaper," was issued today.  Considering that it is printed at the West Point Reformatory, the typographical appearance of the Register is really worthy of praise.
page 5	"NO SAVEY ME?"
page 5	NO PASS.
page 5	A DISOBEDIENT SERVANT.
page 5	LARCENY.
page 5	"LOOK TO YOUR NOSE."
page 5	LONDON GOSSIP.
page 5	DIARY OF THE WAR.
page 6	CULTURE.
page 6	MARK TWAIN AT NIAGARA.
page 6	A COMBAT ALOFT.
page 6	THE TURKISH COMMANDERS.
page 6	POSSIBLE USES OF THE TELEPHONE.
