page 2	WE do not know the reasons why the charge against Captain Morton, who was committed for trial on Saturday, was heard in private.  So far as can be judged from the evidence published.
page 3	REUTER'S TELEGRAM COMPANY, LIMITED.
page 3	IN CRIMINAL SESSIONS.
page 3	CHILD-STEALING.
page 3	LARCENY &C.
page 3	LARCENY AND ASSAULT.
page 3	THE RACQUET COURT BURGLARY.
page 3	IN CRIMINAL SESSIONS.
page 3	LARCENY.
page 3	SHANGHAI.
page 3	NEWS BY THE ENGLISH MAIL.
page 3	TELEGRAMS.
page 3	Australian Items.
