page 2	IT was perhaps unfortunate that in the recent discussion in the Council Chamber respecting the article in the Hongkong Catholie Register so much prominence was given in the first instance to the charitable allowance of $600 per annum to the Reformatory.
page 3	DRUNK.
page 3	LARCENY.
page 3	ANOTHER CASE.
page 3	BREACH OF THE STAMP ACT.
page 3	IN CRIMINAL SESSIONS.
page 3	LARCENY AND PREVIOUS CONVICTIONS.
page 3	Regina v. Lum Afook.
page 3	LARCENY OF A PUESE AND WATCH &C.
page 3	Regina v. Wan Along.
page 3	LARCENY OF A GOLD BANGLS.
page 3	LARCENY OF $1.
page 3	LARCENY AND PREVIOUS CONVICTIONS.
page 3	ATTEMPT TO COMMIT BURGLARY &C.
