page 2	A CORRESPONDENT writes stating that he understands there is an Inspectorships vacant in the Police Force, and suggesting that a post of that kind should in future be filled by Chinese.
page 3	SAN FRANCISCO.
page 3	A SPECIAL SESIONS.
page 3	THE "YESSO" EXPLOSION CASE.
page 3	GAMBLING.
page 3	UNLAWFUL POSSESSION.
page 3	DRUNKS.
page 3	CHARGE OF THEFT AGAINST THE CHIEF MATE AND STEVEDORE OF THE SIAMESE BARQUE "THOON KRAMMOM."
page 3	ALLEGED KIDNAPPING.
page 3	Manila.
page 3	MISSION WORK AT AMOY.
