page 2	THE most remarkable feature in the Race Meeting that has just been concluded was unquestionably the weather. On Wednesday it was pouring with rain up to at least a late hour of the evening.
page 3	Police Intelligence.
page 3	DISORDERLY.
page 3	LARCENY.
page 3	GAMBLING.
page 3	LARCENY.
page 3	RACE TROUBLES.
page 3	China.
page 3	SHANGHAI.
page 3	TELEGRAPHIC MESSAGES.
page 3	A MOSQUITO BAND.
page 3	A NEW ITALIAN IRON-CLAD.
page 3	GENERAL ULYSSES GRANT ON VOLUNTERS.
page 3	LONDON GOSSIP.
page 3	Miscellaneous.
