page 2	IT will be recollected that one of the resolutions passed at the recent confer-ence at the Government offices on the education question was that arrange-ments should be made as soon as pos-stble for teaching English in all the Government schools.
page 3	REUTER'S TELEGRAMS.
page 3	THE WAR.
page 3	LOCAL AND GENERAL.
page 3	Police Intelligence.
page 3	STEALING PASSENGERS' TICKETS.
page 3	ROGUE AND VAGABOND.
page 3	UNLAWFUL POSSESSION.
page 3	DRUNKENNESS.
page 3	LARCENY.
page 3	China.
page 3	Miscellaneous.
