page 2	REUTER'S TELEGRAMS.
page 3	LOCAL AND GENERAL.
page 3	Marine Court.
page 3	DISORDERLY FIREMEN.
page 3	China.
page 3	LONDON GOSSIP.
page 3	DECLARATION OF WAR.
page 3	THE CABLE CONFERENCE IN MELBOURNE.
page 3	THE PHONOGRAPH.
page 4	THE EDUCATIONAL CURRICULUM OF THE CHINESE.
page 4	THE CINCINNATI MAN'S GAME.
page 4	QUEUE CUTTING ORDINANCE.
page 4	"FALLING IN LOVE."
page 7	In the following Statements and Tables the Rates are given in cents, and are, for Letter, per half unce for Books and Patterns, per two ounces.
