page 2	IN the Circulating Herald, a native newspaper published in this Colony, and advertisement appeared a few days ago that is perhaps deserving of some attention on the part of the local Government.
page 3	Police Intelligence.
page 3	A BAD CHARACTER.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	TALK FROM TOWN.
page 3	China.
page 3	NINGPO.
page 3	THE FIRE AT THE CHARTERED MERCANTILE BANK AT SHANGHAI.
page 3	THE RUSSIANS AT SULINA.
page 3	"THE STATE OF CALIFORNIA" AND NEUTRALITY.
