page 2	IN the ables the appeared recently in N. C. News on the newly-opened port of khoi, there is a strong corroboration some remearks we made a week or ago as to the inequality between the uties levied on goods.
page 3	Amoy.
page 3	INQUEST.
page 3	Marine Court.
page 3	Police Intelligence.
page 3	LARCENY BY A EUROPEAN.
page 3	LARCENY ON BOARD SHIP.
page 3	ALLEGED LARCENY BY A GAOL GUARD.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	THE SHEK - O MURDER.
page 3	China.
page 3	Japan.
