page 2	COMPLAINTS are again reaching us of a renewal of the nuisance of street cries. We were under an impression that the nuisance had never been effectually that the nuisance had never been effectuslly suppressed.
page 3	INQUEST.
page 3	THE HOLYWOOD ROAD MURDER.
page 3	Police Intelligence.
page 3	BREACH OF THE STAMP ACT.
page 3	ASSAULT.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	China.
page 3	Japan.
page 3	NEWS BY THE AMERICAN MAIL.
page 3	IN MEMORIAM.
page 3	THE POLYTECHNIC INSTITUTION AT SHANGHAI.
