page 2	WRITING recently on the subject of the Marriage Ordinance of this Colony, we quoted the following paragraph from the report of the Commission appointed to consider the Ordinance at the time of its passing the Legislative Council.
page 3	The khedivs left Singapore for Hongkong at 7 a.m on Tuesday, the 20th inst, and the China, with the next mail, at 8 p.m 
page 3	the same day.
page 3	Police Intelligence
page 3	Disorderly coolies.
page 3	ASSAULTING A PRISONEE IN GAOL.
page 3	STRAGGLERE.
page 3	TODAY'S FLNES.
page 3	Manila.
page 3	China.
page 3	SHANGHAI.
page 3	The Straits.
page 3	LORD BEACONSFIELD ON THE RESULTS OF THE CONFERENCE.
