page 3	PERSONAL NARRATIVES.
page 4	RESIGNATION.
page 4	THE SPRING VALLEY BREWERY AT YOKOHAMA.
page 4	DOMESTIC VOLCANOES.
page 4	MR. SPURGEON ON CHASTISEMENT.
page 4	SHAKESPEARE IN BLACKFRIARS.
page 4	GUNS FOR H.M.S. "INFLEXIBLE."
page 6	It is to be hoped that the highly satatisfactory figures in regard to the state of
page 6	trade in this Colony, placed before the Legislative Council by Mr Hennessy on Tuesday, are
page 6	a little more reliable.
page 7	POSTAL RATES.
page 7	Hongkong Rates of Postage.
