page 2	THE "Acting Chinese Secretary" is illustrating, in the clearest possible manner, the folly of the Head of the Hongkong Government in inaugurating this anomalous post.
page 3	DETAINING A GIRL.
page 3	ATTEMPTED SUICIDE.
page 3	PETTY LARCENIES, &C.
page 3	UNLAWEUL POSSESSION.
page 3	IMPORTANT CHARGE OF GAMBLING.
page 3	ALLEGED THEFT OF A BOAT.
page 3	THE "BOWEN" CASE.
page 3	DECOYING A GIRL.
page 3	DEATH OF THE LAST OF THE SONS OF THE GREAT HONG MERCHANT HOUQUA.
page 3	UNVEILING OF THE MARGARY MEMORIAL.
