page 2	THE latest papers to hand by the Australian Mail give the details of one of the most extraordinary schemes that we have heard of or some time. It seems to be nothing more nor less than the establishing.
page 3	BREACH OF THE OPIUM ORDINANCE.
page 3	LARCENY.
page 3	CHISEL-STEALING.
page 3	NEW SOUTH WALES.
page 3	VICTORIA.
page 3	NEW ZEALAND.
page 3	QUEENSLAND.
page 3	TASMANIA.
page 3	DISTURBANCES AT SAMOA. - PUNISHING THE NATIVES.
page 3	JAPANESE ITEMS.
page 3	THE LATE MR J. R. BLACK.
page 3	THE MITSU BISHI COMPANY TO ESTABLISH A LINE ROUND THE WORLD.
page 4	THE REPUBLICAN CANDIDATE FOR THE PRESIDENCY.
page 4	COUNT SZECHENYI.
