page 2	We drew attention the other day to the blot on the fair fame of European enterprise and trade in the East which lies in the practice of a few black sheep among the merchants, who systematically abuse.
page 3	Police Intelligence.
page 3	ASSAULT ON A MARRIED WOMAN.-A REHEARING.
page 3	AT LARGE WITHOUT PASSES.
page 3	UNLAWFUL POSSESSION.
page 3	ASSAULT.
page 3	Canton.
page 3	NOTE FROM SZE-CHUAN.
page 3	China.
page 3	SHANGHAI.
page 3	TIENTSIN.
page 3	Japan.
page 3	NAGASAKI.
page 3	Singapore.
page 4	WHAT THE ENGLISH THINK OF THE AMERICANS.
page 4	Hongkong Rates of Poslage.
