page 2	AFTER mature consideration, we are constrained to confess that the utterances of three of the leading "powers that be," on the occasion of the Public School prize day.
page 3	HOUSE BREAKING.
page 3	THE RECENT STABBING CASE ON BOARD SHIP.
page 3	LAYING A FALSE INFORMATION.
page 3	EXTENSIVE THEFTS OF GOODS.
page 3	UNLAWFUL POSSESSION.
page 3	LARCENY OF GOLD LOCKET.
page 3	HOW TO PUT DOWN A NUISANCE.
page 3	SURREPTITIOUS PASSAGE.
page 3	AN IRISH ROGUE AND VAGABOND.
page 3	MORE THEFTS FROM THE DOOK.
page 3	DISORDERLY COMPANIONS.
page 3	A CURIOUS CHARGE OF ASSAULT.
