page 2	THE proposition to establish a College for Western educational purposes at Shanghai will perhaps posses some interest to those gentlemen who may be considering a similar proposal here in Hongkong.
page 3	THE HOUSE OF LORDS FINALLY PASSES TE ARMS BILL.
page 3	THE NIHILISTS IN RUSSIA.
page 3	ARRANGEMENT WITH THE BOERS.
page 3	LARCENY.
page 3	UNLAWFUL POSSESSION.
page 3	PUBLIC GAMBLING.
page 3	ASSAULT WIT AN IRON BAR.
page 3	LARCENY FROM THE PERSON.
page 3	LARCENY FROM THE HUNGHAM DOCKS.
page 3	A CHINESE PILGRIM ON THE WAY TO MECCA.
page 3	NEWSPAPERS IN CHINA.
