page 2	WHILE commenting the other day upon the formulated official attack on the Central School, contained in Dr Eitel's Anual Report on Education, we refrained from going into any detailed answer.
page 3	A SUSPICIOUS CHARACTER.
page 3	ASSAULT ON A BOY.
page 3	CUTTING TREES.
page 3	DRUNK AND INCAPABLE.
page 3	LARCENY FROM THE HUNG-HAM DOCK.
page 3	LARCENY FROM THE PERSON.
page 3	PETTY LARCENY.
page 3	ROGUES AND VAGABONDS.
page 3	ALLEGED LARCENY FROM HUNG HAM DOCK.
page 3	CHARGE OF OBTAINING MONEY BY FALSE PRETENCES.
page 3	THE ITALIAN CONVENT.
page 3	THE CITY HALL MUSEUM, HONGKONG.
page 3	OPIUM IN CHINA.
