page 2	IT is very probable that until the last moment the Fench Government did not anticipate that China would fight. That M. Ferry and his colleagues had hopes that the Peking.
page 3	THE MEETING OF THE EMPERORS.
page 3	ANOTHER TYPHOON.
page 3	The New Water Police Station.
page 3	HIGHWAR ROBBERY.
page 3	DAMAGING THE PRAYA WALL.
page 3	ALLEGED LARCENY.
page 3	LARCENY.
page 3	AN AMERICAN TORNADO.
page 4	JOHN BULL AND HIS ISKAND XXX1.
page 4	At the destruction of Jerusalem, the Jews were dispersed.
page 4	John Bull, who attributes his successes in this world to his superiority to all other nations in religious matters.
page 4	It is certain that I do great things, that I am the Elect of Heaven by special appointment.
page 4	A society has been formed, in England, under the name of the 'Anglo-Issael Identity Society.
page 4	These proofs of identity are rather clover, I will give you a few.
