page 2	REUTER telegraphed on Saturday a statement that direct negotiations for peace have commenced between France and China. We preanme that this advice refers to the negotiations which were in progress between the French Consul at Tientain and Li Hung-chang, and which result3ed in a Council of all the Chinese Minister being convoked at Peking to consider the terms of peace offered by France.
page 3	THE FRANCHISE BILL.
page 3	CHOLERA IN PARIS.
page 3	THE WAR IN THE SOUDAN.
page 3	The Seizure of Arms.
page 3	ON THE SPREE.
page 3	ILL TREATMENT OF A SERVANT GIRL.
page 3	ATTEMPT TO OBTAIN MONEY ON FALSE DOCUMENT.
page 3	SUBORNING A WITNESS.
page 3	ASSAULTING THE POLICE.
page 3	KEEPING AN UNLICENSED BROTHEL.
page 3	Hankow.
page 3	Chefoo.
page 3	Vladivostock.
page 3	FREIGHTS.
