page 2	We bad not proposed to make any reference to the verdict given at the inquese the other day, wherein the facts concerning the fall of a house at Hung Ham were investigated. The letter.
page 3	RUSSIA AND AFGHANISTAN.
page 3	RUSSIA ADVANCING ON THE DISPDTED TERRITORY.
page 3	Sir Robert Hart Appointed British Iminister to China.
page 3	THE DEFENCES OF HONGKONG.
page 3	CHINA AND JAPAN AND CHINA AND FRANCE.
page 3	THE CHINESE JAPANESE CONVENTION.
page 3	THE FRANCE-CHINESE DISPUTE AND ITS EFFECTS ON CHINA.
page 3	RELEASE OF LEE LUM KWAI.
page 3	THE HUNG HAM COLLAPSE.
page 3	THE ATTEMPT TO BREAK INTO THE BERLIN MISSION HOUSE.
page 3	LARCENY.
page 3	ALLEGED CASE OF DECOYING.
page 3	THE YANGTSZE INSURANCE ASSOCIATION.
page 3	A YARN FROM THE "LEEYUEN."
page 3	REPORT ON THE FOREIGN TRADE OF CHINA FOR THE YEAR 1884.
