page 2	THE discussion in Council on the Municipal Rates Ordinance, although a little inconclusive on some points, was on the whole satisfactory. Most residents will admit the fairness of the decision to exempt the City Hall bailding from taxation.
page 3	TGE BURMESE WAR.
page 3	NEGLECTING TO BURN A RIDING LIGHT AT ANCHOR.
page 3	THE LEMON CUTTING AND WOUNDING CASE.
page 3	ANOTHER CUTTING AND WOUNDING CASE.
page 3	BUEGLARY, AND WOUNDING A POLICEMAN.
page 3	THE BURMESE DIFFICULTY.
page 3	THE WAR IN BULGARIA.
page 3	ERECTION OF FIRST AFGHAN BOUNDARY PILLAR.
page 3	DEATH OF LORD RANELAGH.
page 3	DESTRUCTIOVE FIRE IN AMERICA.
page 3	DEATH OF THE AMEER OF BOKHARA.
page 3	LOUIS RIEL HANGED.
page 3	THE POPE'S AWARD.
