page 2	THE discussion in Committee of the Legislative Council on the Public Health Bill was continued yesterday, when a few of the Sections of the Ordinance were passed, and a. few more were were postponed.
page 3	FRAGRANT WATERS'MURMUR.
page 3	Corea.
page 3	SOCIETY IN CHINA.
page 3	THE DIFFERENCE BETWEEN EASTERN AND WESTERN CUSTOMS.
page 3	PROTECTIONISM RUN MAD.
page 3	A TRUE DOG STORY.
page 3	LATE TELEGRAMS.
page 3	BLAINE IN SCOTL AND.
page 3	THE BULAGARIAN CRISIS.
page 3	THE BANQUET TO PARNELL.
page 3	THEY WANT RECONCILIATION.
page 3	BEARING RUSSIAN SECURITIES.
page 3	THE CHESS TOURNAMENT.
page 3	HONORS TO IRISHMEN.
page 3	A ROYAL RECONCILIATION.
page 3	PEACEFUL FND OF THE RECENT SCANDAL IN LONDON.
page 3	THE HEART.
page 3	THE SAME EVERY TIME.
page 4	A GAME OF BACCARAT.
page 4	GIER-GRISON FOR THE SAN FRANCISCO.
page 4	A PLAYFUL TIGER.
page 4	REMARKABLE EXPERIENCE OF AN INDIAN HUNTER.
