page 2	IT seems that Colonial Chief Justices are to be relieved of the duty of sitting in Legislative Councils for the future, because of differences that have occasionally arisen between the administrative and judicial authorities in two or three of the Colonies.
page 3	THE SANITARY BOARD.
page 3	THE BOARD HAS NO FUNDS.
page 3	INSPECTING CATTLE.
page 3	A NUISANCE ON THE PEAK ROAD.
page 3	HONGKONG RIFLE ASSOCIATION MEETING.
page 3	THIRD DAY.
page 3	THE KING OF THE SEDANGS IN HONGKONG.
page 3	AN INTERVIEW WITH HIS MAJESTY.
page 3	CHINESE NOTES.
page 3	THE EAST BORNED PLANTING CO., LIMITED.
page 3	TIENTSIN.
page 3	CHINA AND KOREA.
page 3	JUDGE DENNY ON THE WAR PATH.
