page 2	The O. & O. Co.'s s. s. Arabie, with the American Mail of November 7th, left Yokohama on tuesday, the 27th inat at daylight, and may be expected here on or about Monday, the French Mail of November 3rd, left Singapore on Thuraday, the 29th November, at 7 a.m.. 
page 3	THE SANITARY BOARD.
page 3	THE CIRCULATION OF THE DEATH RETURNS-A COMPLAINT BY MR. FRANCIS.
page 3	THE DRAINAGE BY-LAWS.
page 3	FAPERS ON BERI-BERI.
page 3	THE CONTRACTS FOR THE REMOVAL OF NIGHT SOIL.
page 3	A COMMITTEE GONE TO SLEEP.
page 3	THE QUESTION OF OVERCROWDING.
page 3	THE DRAINAGE QUESTION.
page 3	THE GERMAN MAIL.
page 3	RUSSIA'S POLICY.
page 3	FRANCE AND AMERICA.
page 3	EMPEROR WILLIAM SNUBS THE BERLIN PRESS.
page 3	TROUBLE BREWING IN SPAIN.
page 3	THE POPE AND GERMANY.
page 3	THE GERMANS IN EAST AFRICA.
page 3	INDEPENDENT BULGARIA.
page 3	A NEW CONSTITUTION FOR SERVIA.
page 3	THE APPROACHING CRISIS IN FRANCE.
page 3	FIGHT AT A BOULANGIST MEETING.
page 3	SPEECH BY THE GENERAL.
