page 2	THE spirit of charitable forbearance hovered over the proceedings of the Legislative Council yesterday, with the result that business went smoothly, It is needless to say that a suave conduct of the local Parliament is certain to prove more successful than the display of a different spirit can ever be --- to officials and unofficias alike.
page 3	TELEGRAMS.
page 3	BATTLE IN SAMOA-DEFEAT OF THE GERMANS.
page 3	SUAKIM.
page 3	SUPREME COURT.
page 3	IN ORIGINAL JURISDICTION.
page 3	J. M. JOCHANNES AND CO. V. D. SASSON SONS AND CO.-A DISPUTED OPIUM TRANSACTION.
page 3	IN SUMMARY JURISDICTION.
page 3	THE WAR IN SAMOA.
page 3	A DECISIVE BATTLE.
page 3	ENGAGEMENT AND DISCHARGE OF SHIPS' CREWS.
