page 2	THE two men who were charged at the Police Court the other day with stealing a gold watch from an engineer named William de Lorme, were to-day sentenced to six months hard labour.
page 3	PRIZE DAY AT THE DIOCESAN HOME.
page 3	THE GREAT DISTRESS IN NORTH CHINA.
page 3	CHINESE ITEMS.
page 3	INFANTICIDE IN WEI CHOU-FU IN KUANGTUNG.
page 3	THE IMPERIAL WEDDING CHAIR.
page 3	PORELIMINARY PEESENTS OF THE IMPERIAL WEDDING.
page 3	RAILWAYS IN FORMOSA.
page 3	TIENTSIN.
page 3	CHEFOO.
page 3	1,500,000 PEOPLE STARVING.
page 3	THE NEW P. & O. STEAMER PENINSULAR.
page 3	NEWS BY THE FRENCH MAIL.
page 4	ONLY A PRUSSIAN SPY.
page 4	A STORY OF BOULOGNE.
