page 2	THE question of the validity of Chinese marriages and the statue of the wives and children of Chinese in one which may in future cause considerable trouble, and may one day or other require to be definitely settled.
page 3	MEETING OF THE LEGISLATIVE COUNCIL.
page 3	FINANCIAL.
page 3	NATURA TSATION ORDINANCE.
page 3	AMENDING ORDINANCES.
page 3	THE CROWN LANDS RESUMPTION ORDINANCE.
page 3	THE EXTRADITION BILL.
page 3	THE POKFULAM WATER.
page 3	THE BELILOS PRIZES.
page 3	Canton.
page 3	FORMOSA.
page 3	CHINKIANG.
page 3	REPORTED DESTRUCTION OF A CHINESE CITY.
page 3	THE AMOY TEA MARKET.
page 3	PEKING NOTES.
page 3	BALLADE OF THE TEA SEASON.
page 3	SUNG BY A WEARY CHAASZEE.
