page 2	THE question of the disposal of tows refuse is occupying a great deal of attention in India at the present moment. Bombay has made experiments with various systems, and the subject is being actively discussed.
page 3	INTIMIDATING A BROTHEL KEEPER BY FORGED LETTERS.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	PASCOE V. MORGAN.
page 3	THE HONGKONG MEDICAL SOCIETY.
page 3	THE MILITARY AT THE PEAK.
page 3	A TRIP TO CANTON.
page 3	NEWS BY THE GERMAN MAIL.
page 3	CYCLONE IN AMERICA.
page 3	REPUBLICANISM IN HOLLAND.
page 3	GENERAL BOULANGER.
page 3	THE PANAMA CANAL.
page 3	THE POSITION IN SERVIA.
page 3	THE WAR PABTY IN RUSSIA.
page 3	WHAT THE TROOPS ARE SAYING.
