page 2	SELDOM has a case evoked so much interest in the community as the Potts V. Rustomjee share case, which was tried in the Supreme Court during the first three days of this week Some months ago the words 'corner.'
page 3	TELEGRAMS.
page 3	MORE TROURLE IN EGYPT.
page 3	MR. GLADSTONE ON BIMETAL SM.
page 3	DREADFUL COLLIERY EXPLOSION IN FRANCE.
page 3	LOSS OF TBE M. M. STEAMER ANADYR.
page 3	SUPREME COURT.
page 3	INSUMMARY JURISDICTION.
page 3	PITMAN v. WOTTON AND DEACON.
page 3	A PRAYER.
page 3	THE GOVERNOR OF FORMOSA ON RAILWAYS.
page 3	THE RIOT AT HANKOW.
page 3	THE FOURTH OF JULY.
page 3	KXPLOSION OF FIREWORES ON THE RIVER AT SIIA GHAL.
page 3	FAILURE OF THE FRENCH AND ITA IAN S. LK CROPS.
page 3	CHEFOO.
