page 2	WE would remind our readers that the annual meeting of the Hongkong Cricket Club takes place tomorrow afternoon, at 5 p.m. at the Cricket Pavilion.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	SHOOTING AT A DISTRICT WATCHMAN.
page 3	THEFT OF JEWELLERY BY A SERVANT.
page 3	PIRACY.
page 3	REWARD TO THE CONSTABLE.
page 3	THE OPIUM SMUGGLERS AND THE STEAMBOAT CO.
page 3	A SEIZURE OF OPIUM AND ITS RESULTS.
page 3	LATE TELEGRAMS.
page 3	CO-OPERATIVE EXRIBITION IN LONDON.
page 3	A RUSSIAN UKASE.
page 3	HUSSIA'S FINANCES.
page 3	FRENCH CANADIANS HONOR AN ABMIRAL.
page 3	HOW CHINESE COME INTO THIS COUNTRY.
page 3	THE REPEAL OF THE CONTAGIOUS DISEASES ACTS.
page 3	AGITATION IN SINGAPORE AND IN INDIA.
page 3	TO THE MUNICIPAL COMMISSIONERS SINGATORE.
page 3	THE CONTAGIOUS DISEASES ACT IN INDIA.
