page 2	THE Sanitary Board has at last come to a declaration on the vexed question of the disposal of the city refuse, if that can be called a decision which recommends a scheme that not one of the members fully endorses.
page 3	TELEGRAMS.
page 3	FRENCH ELECTIONS.
page 3	THE RECENT FIRE IN QUEEN'S ROAD ENTRAP.
page 3	SUPREME COURT.
page 3	IN ORIGINAL JURISDICTION.
page 3	LATE TELEGRAMS.
page 3	A SUCCESSFUL DRUMMER.
page 3	THE COUNT OF PARIS HEARD FROM AGAIN.
page 3	THE PROPOSRO IRISH UNIVERSITY.
page 3	A SPIRIRTED DEBATE ENDS IN THE USUAL MANNER.
page 3	WILL THE GLADSTONIANS BE LEFT IN THE LURCH.
page 3	THE PRINCE OF MONTENEGRO AND HIS SUBJECTS.
page 3	A RUSSIAN MARTYR.
page 3	THE KING AND QUEEN OF ITALY EXUOMMICATED.
page 3	AN EIFFEL TOWER FOR ENGLAND.
page 3	ELLEN TERRY'S SON.
