page 2	THE Sanitary Board did its best at the meeting yesterday afternoon to white wash its officer, Mr Cooper, and to a certain extent its efforts were fairly successful. The Acting Registrar General appeared in the role of counsel for the defendant and endeavoured to show that his brother official was a much maligned individual.
page 3	ALLEGED INTIMIDATION OF WORKMEN.
page 3	A DESERTER FROM THE NAVAL MARD POLICE.
page 3	VICTORIA RECREATION CLUB.
page 3	ARRANGEMENTS FOR THE FORTHCOMING REGATTA.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISD CTION.
page 3	TSANG FUK LI V. W. ROST.
page 3	A NEW PORT FOR PERAK.
page 3	SUNDAY WORK IN COLONIAL HARBOURS.
page 3	THE CHINESE LEGATION IN LONDON.
page 3	CHINESE SUPHRSTITION.
page 3	A STRANGE STGRY.
page 4	THE CHINA REVIEW.
page 4	PUBLISHED BI-MONTHLY.
page 4	OPINIONS OF THE PRESS.
