page 2	THE business done at the meeting of the Legislative Council yesterday was mainly of a routine character. Still there were some mattere discussed which are of considerable publie interest.
page 3	THE NEW UNION CHURCH.
page 3	LAYING THE MEMORIAL STONE.
page 3	THE CHINESE INSURANCE CO LIMITED IN LIQUIDA TION.
page 3	THE EWO STREET ARSON CASE.
page 3	HONGKONG SKY MEETING.
page 3	PRIZE MEETING OF THE HONGKONG RIFLE ASSOCIATION.
page 3	LATE TELEGRAMS.
page 3	THE IMPEBIAL BUDGET.
page 3	THE CRETAN DIFFICULTY.
page 3	LORD RANDOLPH CHURCHILL DENOUNCES THE GOVERNMENT.
page 3	AN AUSTRALIAN SCHOLAR.
page 3	POSTAL RATES TO AUSTRALLA AND INDIA.
page 3	THE AMERICAN MELEE.
page 3	LIGHT GOLD IN AUSTRALLA.
page 3	THE SERVIAN MINISTRY.
page 3	THE LABOUR CONFERENCE.
