page 2	THE new draft bill for the regulation of the water supply, which was approved at the last meeting of the Sanitary Board, is in many respets an improvement on the old Bill.
page 3	THE EIGHT HOURS' MOVE MENT.
page 3	THE GERMAN-WISSMANN EXPEDITION.
page 3	GERMAN EAST AFRICA.
page 3	MR. STANLEY.
page 3	FRANCE AND ITALY.
page 3	LORD CHURCHILL AND THE CONSERATIVES.
page 3	STANLEY'S MOVEMENTS.
page 3	RE-ASSEMBLING OF PARLIAMENT.
page 3	THE IRISH LAND BILL.
page 3	EGYPTIAN QUESTION.
page 3	THE BUDGET.
page 3	PRINCE VICTOR.
page 3	EDUCATION IN BRAZIL.
page 3	THE PRESS ON THE BUDGET.
page 3	THE CHARTERED BANK.
page 3	A THEATRICAL DEFAMATION SUIT.
page 3	THE POLICY OF GERMANY.
page 3	A EPLENDID BUDGET.
page 3	LADY HARRIS.
page 3	LANDOWNERS' CONVENTION.
page 3	THE EIGHT HOURS' MOVEMENT.
page 3	THE RUSSIANS IN CENTRAL ASIA.
page 3	CAPTAIN YOUNGHUSBAND'S JOURNEY.
page 3	THE INDIA FACTORY BILL.
page 3	THE NATIONAL CONGRESS IN LONDON.
page 3	A CHAPTER OF ACCIDENTS.
page 3	QUEEN VICTORIA'S RHEUMATISM.
page 3	RESOLUTION OF CONFIDENCE.
page 3	THE IAND BILL CRITICIZED.
page 3	LONDON'S GRAFT TOWER.
page 3	BELGIAN LABOR TROUBLES.
page 3	THE WALPOLE BREACH OF PRGMISE CASE.
page 3	INSPIRED JOURNALISM.
page 3	THE TRACY FIRE-AN OLD SERVANT ACCUSED OF BURNING THE HOUSE.
page 3	NEARLY SETTLED.
page 3	A DINNER TO LABOR DELEGATES.
page 3	THE STRIKE AT VIENNA.
page 3	THE CREWE MURDERERS.
page 3	MR. GOSCHEN AND DEER.
page 3	ASSDTED EMIGRATION.
page 3	GIGANTIC ENGINEERING SCHEME.
page 3	THE RUSSIAN RICTS.
page 3	UNEMPLOYED IN RNGLAND.
page 3	THE GERMAN COLONIAL OFFICE.
page 3	MISCELLANEOUS.
