page 2	THE Legislative Council has passed th first reading of a Bill entitled An Ordinance to amendand consoliste the law relating to the protection of women and girls. A large ordinance, with a similar title, was passed only a year ago.
page 3	A PLAGUE OF LOCUSIS.
page 3	AN AMERICAN SWIMMER.
page 3	KEMP AN FASY WISNNER.
page 3	STANLEY'S TEEATIES.
page 3	A JAPAESE HONOEED.
page 3	THE SUITAN TO FAT.
page 3	THE GERMAN BUDGET.
page 3	THE FHENOH IN DAHOMEY.
page 3	A HEDREW BIBLE-THE MOST VALUABLE BOOK IN THE WORLD.
page 3	PRINCE NICHOLAS.
