page 2	THAT the public are very apathotie about the Jubilee celebrations may be gathered from the fact that besides the Committee only two or three residents were present at the public meeting held yesterday afternoon.
page 3	AN OLD MAID OF BOSTON WRDS A CHINESE.
page 3	THE GREAT CURE FOR CONSUMPTION.
page 3	WHY THE NIHILISTS MURDERED GENERAL SELIVERSTROFF.
page 3	DOM PEDRO'S DAILY LIEF IN PARIS.
page 3	A CURIOUS STORY - SCANDAL WITH ROMANTIC FEATURES.
page 3	A COUNT IN CHAINS - THE CRIMES OF AN ITALIAN OFFICIAL.
page 3	MISCELLANEOUS.
page 4	AN OLD MAID OF BOSTON WRDS A CHINESE.
page 4	THE GREAT CURE FOR CONSUMPTION.
page 4	WHY THE NIHILISTS MURDERED GENERAL SELIVERSTROFF.
page 4	DOM PEDRO'S DAILY LIEF IN PARIS.
page 4	A CURIOUS STORY - SCANDAL WITH ROMANTIC FEATURES.
page 4	A COUNT IN CHAINS - THE CRIMES OF AN ITALIAN OFFICIAL.
page 4	MISCELLANEOUS.
