page 2	THE Finance Committee of the Legislative Council has all but passed the Estimates, having manifested a far more docile spirit than was shown last year. With the exception of the vote for the audit department.
page 3	A FOREIGNER DIES FROM STARVATION IN SHANGHAL.
page 3	THE MILITARY EXAMINATIONS AT NANKING.
page 3	SUPPRESSION OF THE RIOTING AT TEK-HUA.
page 3	THE AUSTRALIAN FLEET.
page 3	OVERPRODUCTION AND MCKINLEY.
page 3	THE KAISER'S HOBBY.
page 3	THE CRISIS AT HAND.
page 3	FIGHT IN IRELAND.
page 3	CHAMBERLAIN ON THE LORDS.
page 3	LICHFIELD CATHEDRAL STRUCK BY LIGHTNING.
page 3	HEALY SPEAKS PLAINLY.
page 3	ALL DUE TO MCKINLEY.
page 3	ELECTION DISTURBANCES IN CORK.
page 3	NOT A POPULAR APPOINTMENT.
page 3	RAILWAY ACCIDENTS IN FRANCE.
page 3	A RIVAL FOR 'PUNCH.'
page 3	RUSSIA AND TURKEY.
page 3	A SERIOUS ACCIDENT.
page 3	CHANGE OF RELIGIOUS BELIEF.
page 3	BOULANGER'S WILL.
page 3	GENERAL BOOTH WILL BE SUCCEEDED BY HIS DAUGHTER.
page 3	THE KAISER TRYING TO STAMP OUT IMMORALITY.
page 3	LEPROSY MICROBES.
page 3	A ROYAL COUPLE.
page 3	THE WESTERN POWERS AND CHINA.
page 3	REBELLIOUS ARABS.
page 3	LADY CLANCARTY WILL NEVER AGAIN APPEAR ON THE STAGE.
