page 2	THERE can be no doubt that the feeling with which the sad news of this morning would be received throughout the length and breadth of the British Empire would be one of deep regret.
page 3	DEATH OF H. R. H THE DUKE OF CLARENCE.
page 3	BRITISH MERCANTILE MARINE OFFICERS' ASSOCIATION.
page 3	THE CHINESE INSURANCE COMPANY LIMITED.
page 3	LORD RANDOLPH CHURCHILL BL-GUSTED WITH SOUTH AFRICA
page 3	ADMIRAL GERVAIS PROMOTED.
page 3	A BERLIN DYNAMITER.
page 3	CHAMBERLAIN EXPDAINS THE PLANS OF THE BRITISH GOVERNMENT.
page 3	LIVERPOOL WILL NOT EXHIBIT.
page 3	AN IRISH GAMEKEEPER KILLED.
page 3	MEXICAN FAMINE REPORTS EXAGGERATED.
page 3	A PORTUGUESE RUMOUR DENIED.
page 3	A MANSION FOR THE DUKE OF CLARENCE.
page 3	ITALY AND AMERICA.
page 3	BIRTH OF A GERMAN PRINCE.
page 3	EMPEROR WILLIAM'S PLAN.
page 3	DAVITT IN THE FIELD.
page 3	A NEW IRONCLAD CHRISTENED THE WEIS SENBRURG BY EMPOROR WILLIAM.
page 3	A WHOLE FAMILY POISONED.
page 3	ANOTHER WHITECHAPEL MURDER.
page 3	A GERMAN PAPER SEIZED.
page 3	THE PERSONS INJURED.
page 3	THE LEPROSY COMMISSION.
page 3	PORTUGUESE IN AFRICA-FEARFUL CATASTROPHE.
page 3	A FIRE IN THEATRE.
page 3	SLAVERY IN CENTRAL AFRICA.
page 3	RUSSIAN RAILWAY.
page 3	PRINCE CHRISTIAN LOSES HIS EYE.
page 3	MORE RUSSIAN SECRET SOCIETIES.
page 3	LORD RANDOLPH CHURCHILL AS AMBASSADOR.
page 3	ENGLISH OFFICIALS IN EGYPT.
