page 2	THE Government notinomion which appeared in the of Saturday last, with respect to the ownership of land, by Government officers, is a striking example of how a thing essentially good may create.
page 3	ILLNESS OF THE POPE.
page 3	FRANCE AND BULGARIA.
page 3	SINGAPORE AND HONGKONG.
page 3	ORICKET.
page 3	ROYAL ENGINEERS V. POLICE.
page 3	NOTES FROM NEWCHWANG.
page 3	THE STRANDING OF THE MARIE.
page 3	A VISIT TO EAST SIBERIA.
page 3	THE TRANS-BAIKAL RAILWAY.
page 3	BUSSIAN COLONISATION.
page 3	MINING ENTERPRISE.
page 3	THE DESTRUCTION OF SEAIS.
