page 2	TO-DAY at the Marine Magistrate's Court, the Hon W. C. H. Hastings fined the master of the Hang Cheong afeam-lauuch $62. With the alternative of three, months' imprisonment.
page 3	HONGKONG LCE COMPANY, LIMITED.
page 3	POLITICAL RIOTING IN JAPAN.
page 3	A NUMBER OF PROPLE KILLED. 
page 3	A CHINESE BROIL AT YOKOHAMA.
page 3	THE GILGIT FRONTIER.
page 3	THE POPE'S SUCCESSOR.
page 3	RUSSIA AND EGYPT.
page 3	THE STATE OF MOROCCO.
page 3	THE SANITARY CONFERENCE.
page 3	THE SALVATION ARMY.
page 3	THE CHARGE AGAINST MR BASTINGS, M. P.
page 3	THE DEATH ROLL.
page 3	SUICIDE OF MR HUME WEBSTER.
page 3	THE SILVER QUESTION.
page 3	A GOLD STANDARD FOR AUSTRIA.
page 3	THE LAST DAYS OF THE DUKE OF CLARENCE.
page 3	HOW THE NEWS WAS RECEIVED.
page 3	WHO KILLED THE KHEDIVE.
page 3	THE PORTUGUESE CRISIS.
page 3	THE PRUSSIAN BUDGET.
page 3	FOOD FOR THE STAMPING.
page 3	ANOTHER ENGLISH SCANDAL
page 3	DEATH OF CARDINAL SIMEONI.
page 3	COTION MEN IN TROUBLE.
page 3	RUINED BY DRINK-CLOSE OF THE CAREER OF AN IRISHMAN OF GREAT TALENT.
page 3	A GOOD SHOWING MADE BY A PROMINENT INSTITUTION .
page 3	A STARVING CREW.
page 3	AN 'INSULT' TO FRANCE.
page 3	A BIG FIRE IN LEEDS.
page 3	A FLOOD IN SPAIN.
page 3	THE GERMAN LANDTAG.
page 3	FRENCH ARTISTS.
page 3	IN THE ARGENTINE.
page 3	EX-SENATOR BLAIR MAY YET BE SENT AS MINISTER TO CHINA.
page 3	A HORRIDLE CRIME.
page 3	SPAIN'S INDEPENDENT ATTITUDE.
page 3	HE WANTED TO SHOW HIS CONTEMPT.
page 3	SPANISH ANARCHISTS REPUISED.
page 3	JAMES GORDON BENNETT'S ORDERS.
page 3	SHOCKING RAILWAY ACOIDENT.
page 3	A WHITE GIRL HELD CAPITVE BY CHINESE.
