page 2	WHEN it was first proposed, about a year ago, that the Assistant Harbour Master should undertake the cuties of Superintendent of the Water Police, the proposition was accepted with approval by the community Anagitation.
page 3	PASSED SUEZ CANAL.
page 3	THE CHINESE OFFICIALS AND THE KAO-LO HUI.
page 3	NEWS BY THE AUSTRALIAN MAI.
page 3	HEALTH OF PRINCE George.
page 3	THE FRENCH MINISTRY.
page 3	THE GERMAN PRISS.
page 3	DISAFFECTION IN POLAND.
page 3	THE BRITISH LABOUR COMMISSION.
page 3	THE DUKE OF SUTHERLAND AND HIS SON.
page 3	IMP HIAL FEDERATION-CANADIAN NEWS.
page 3	THE MANCHESTER SHIP CANAL.
page 3	LAUNCH OF A F AND O STEAMER.
page 3	EMPEROR.
page 3	THE FALKLAND ISLANDS.
page 3	THE HANSARD PUBLISHING UNION.
page 3	THE COLLIERY DIFFICULTY IN ENGLAND.
page 3	CHILDREN DYING OF STARVATION.
page 3	WALT WHITMAN.
page 3	THE SEALING QUESTION.
