page 2	THERE were 1,119 visitors to teh City Hall Museum during the week ending 25th May last, of whom 120 were Europeans and the rest Chinese.
page 3	THE IMURIS MINES.
page 3	NEWS BY THE AUSTRALIAN MAIL.
page 3	THE LABOR PROBLEM.
page 3	CANADIAN CORRUPTION.
page 3	THE UGANDA TROUBLE.
page 3	THE MAY DAY DEMONSTRATION AT HYDE PARK.
page 3	ENGLAND AND CANADA.
page 3	CANADA AND THE STATES.
page 3	COLLISION IN THE ENGLISH CHANNEL.
page 3	SIR HENRY PARKES.
page 3	FEMALE FRANCHISE.
page 3	THE MANNING MEMORIAL.
page 3	BLACK LABOUR IN QUEENSLAND.
page 3	DYNAMITE OUTRAGES.
page 3	MISCELLANEOUS.
