page 2	THE proposal o spend the enormous sum of $250,000 in goal extension will shortly be submitted to the finance Committee of the Legislative Council.
page 3	THE MANAGERS OF THE PANAMA CANAL TO BE PROSECUTED.
page 3	RELIEF FOR THE UNEMPLOYED.
page 3	ARRIVAL OF THE KING AND QUEEN OF PORTUGAL AT MADRID.
page 3	THE PHILIPPINTE BUDGET.
page 3	THE BELGIAN PARLIAMENT.
page 3	DYNAMITERS IN PARIS.
page 3	PASSED SUEZ CANAL.
page 3	SUPREME COURT.
page 3	IN ORIGINAL JURISDICTION.
page 3	'MAIDBN SESSIONS'-THE CHIEF JUSTICE AND HIS WHITE CLOVES.
page 3	THE SILVER PROBLEM.
page 3	THE EDUCATIOAL REPORT FOR 1891.
page 3	GENERAL EDUCATIOANAL STATISTIOS.
page 3	GENERAL STATISMOS OF SCHCOLS UNDEH THE BDUCATION DEPARIMENT.
page 3	PROGRESS DURING THE LAST THREE YRARS.
page 3	COMPARATIVE STATISTICS OF GOVERNMRNT.
page 3	RDUCATIONAL EXPENDITURE OF THE GOVERNMENT.
page 3	NATURE OF THE RDUATION GIVEN IN THE SCHOOLS OF THE COLONY.
page 3	FEMALE EDUCATION.
page 3	ATTENDANCE AND NUMBER OF UNEDUCATED CHILDRRN.
page 3	SUGGESTIONS.
