page 2	IT will be seen from an advertisement that the 'Sons of Neptune' will give their first performance at the Theatre Royal on Monday evening.
page 3	COUNT POPOW IN A NEW CHARACTER.
page 3	A VICE-ADMIRAL IN THE FRENCH NAVY.
page 3	PRESENTATION OF PRIZES AT ST JOSEPH'S COLLEGE.
page 3	THE CITY HALL.
page 3	HONGKONG BENEVOLENT SOCIETY.
page 3	THE SANITARY BOARD.
page 3	THE SALT-FISH NUISANCE.
page 3	THE VACANT POST OF INSPECTOR OF NUISANCES.
page 3	THE ART AND HYGIENE OF FENCING.
page 3	EXPORT CARGOES.
