page 2	IT is not often that 'the bicycle flend' or 'the cad on castors,' as he was dubbed early in his career by a homo journal makes himself obnoxious in Hongkong.
page 3	CANTON.
page 3	DR BATESON WRIGHT AND ST JOSEPH'S COLLEGE.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDIOTION.
page 3	IN ORIGINAL JURISDICTION.
page 3	FOOCHOW NOTES.
page 3	THE FOOCHOW TEA TRADE IN 1892.
page 3	LIFE BELTS ON STEAMERS.
page 3	CHESS AND MDRALS.
page 3	FREAK BETS ON THE AMERICAN ELECTION.
page 3	THE PANAMA SUANDAL.
page 3	THE MONFTARY QUKSTION.
