page 2	IT is expected that the Sutlej will arrive about 5 o'clock to-morrow afternoon with the mails. She bring on the mail transferred from the damaged Measageries Maritimes steamer Yarra, and as the time of the lettersorters.
page 3	THE LINCOLNSHIRE HANDICAP.
page 3	ALLEGED OUTRAGE ON THE BRITISH FLAG.
page 3	THE SIKKIM QUESTION.
page 3	THE KEONJHAR TROUBLES.
page 3	THE GAMBIA INCIDENTS.
page 3	FUNERAL OF M. FERRY.
page 3	ACCIDENT TO A WARSHIP.
page 3	FRANCE AND SIAM.
page 3	A NEW CUIRASS.
page 3	THE LEPROSY COMMISSION.
page 3	END OF THE COTION STRIKE.
page 3	RUSSIAN COINAGE.
page 3	PROCEEDINGS IN PARLIAMENT.
