page 2	IF we may judge by what is set forth in hte report of the Superintendent of Victoria Gaol for 1893, Mr Lethbridge is a man to be pitied.  Although he, no doubt, participates in the general satisfaction over the marked decrease in the number of his guests during last year.
page 3	TEHERAN.
page 3	THE ACCIDENT TO THE S. S. TANTALUS.
page 3	HOPE FOR MES MAYBHICK.
page 3	A FRENCE BANK FAILS.
page 3	DIEBLEB, THE JEENCH HEAD SMAN, EXILE IN ENGLAND.
page 3	THE LAST OF LOBENGULA.
page 3	ASIATIC AEMENIANS MAKE AN APPEAL TO CLEVELANG.
page 3	PRINCESS AND OT BATTENBURG SUSTAINS SEVERN INJUINS.
page 3	THREATENED THE QUEEN.
page 3	AVALANCHES IN SWITZEBLAND.
page 3	SIR WILLIAM HARCOURT ON THE NOUSE OF LORDS.
page 3	GERMANY AND RUSSIA.
page 3	THE ATLANTIC LINES 'FARIS' DISABLED.
page 3	FRANCE AND PORTUGAL.
page 3	THE EXPLOSION ON BOARD THE 'BRANDENURG.
