page 2	THE ship's company of H. M. S. Rattler gave a successful concert at Singapore on the 3rd inst.
page 3	FRANCE AND MADAGASCAR.
page 3	FUNERAL OF THE COMTE DE PARIS.
page 3	THE CHINA-JAPAN WAR.-THE LATEST BATTLE.
page 3	EXPULSION OF AN ITALIAN DEITOR FROM EGYPT.
page 3	GERMANY IN AFRICA.
page 3	CHINESE SOUTHERN FLEET ORDERED NORTH.
page 3	ANOHTER BATTLE.
page 3	A NEW PHASE OF THE CHINA-JAPAN.
page 3	RECRUITING FOR THE NAVY.
page 3	BOMBAY BANK RATE.
page 3	N. W. FRONTIER.
page 3	A VANISHED LAKE.
page 3	THE BUFFER STATE.
page 3	THE CRICKET CHAMPIONSHIP.
page 3	FROM THE THRONE.
page 3	CHINESE LEKIN DUTIES.
page 3	BRILLIANT VICTORY FOR PARSEE CRICKETERS.
page 3	THE BURSTING OF THE GOHNA LAKE.
page 3	AMERICAN WHEAT CROP.
page 3	A FRENCH FORCE ANNIHILATED AT TIMBUCTOO.
page 3	THE AMERICAN TARIFF.
page 3	PURCHASE OF SLAVES IN CAIRO.
page 3	THE PACIFICATION OF SOUDAN.
page 3	LEIGESTER ELECTION.
page 3	WITHDRAWAL OF OYPRUS GARRISON.
