page 2	IT is hinted that a remarkable number of barrels of cement are being shipped just now to the Far East, the insinuation being that a keg of gunpowder can be neatly packed away inside a barrel of cement.
page 3	THE YALOO RIVER NAVAL FIGHT.
page 3	THE CHINA-JAPAN WAR.
page 3	THE RUSSIAN PRESS ON THE WAR.
page 3	THE HEALTH OF THE CAZR.
page 3	THE EXCHANGE OF MSXICAN POLLARS WITH SPANISH SILVER.
page 3	DELAGOA BAY RAILWAY - BRITISH OUNBOAT FROTECTING POBTUGUESE SUSTLCTS.
page 3	THE AMERICAN SUGAR TRUST.
page 3	THE FRENCE RUDGET.
page 3	BULGARIAN ELECTIONS.
page 3	COST OF TELEGRAMS.
page 3	CHINESE RAID ON STATIOIN OF THE SIBERIAN RAILWAY.
page 3	POOR FELLOW.
page 3	MALARIAL FEVER AND HOW TO WARD IT OFE.
page 3	THE ILMITS OF CREDULITY.
page 3	A SENSATION EXPLODED.
