page 2	REUTER'S telegram, dated London, 24th inst., stating that a battle was fought at Wi-Ju, (on the Corean band of the Yaloo), and that the Japanese had retreated to Ping-yang, seems to us to require confirmation.
page 3	THE POWERS AND THE CHINA JAPAN WAR.
page 3	THE CZAR OF RUSSIA.
page 3	THE NEW CURE FOR CROUP.
page 3	THE AMEER.
page 3	THE CZR'S CONDITION HOPELESS.
page 3	MOVEMENTS OF THE JAPANESE FLEET.
page 3	THE HONGKONG STEAM LAUNCH CO., LIMITED, (IN LIQUIDATION.)
page 3	PUNJOM MINING COMPANY, LIMITED.
page 3	FOOCHOW NOTES.
page 3	FATAL BOATING ACCIDENT AT FOOCHOW.
page 3	THE DISTINGUISHED SON OF A NAVVY.
page 3	DNGLAND'S GEEAT AUTHORITY ON NAVAL MATTERS.
page 3	EXCAVATION AND DISEASE.
page 3	THE POISONING OF THE ARMY.
page 3	THE COMMANDER IN-CHIEF OF INDIA'S MESSAGE TO THE PEOPLE OF ERGLAND.
page 3	AN IMPERIAL SPORTSMAN.
