page 2	THE predominant feature of the half-yearly meeting of the shareholders of the Hongkong and Shanghai Banking Corporation on Saturday was its optimism. All the speeches were cheery.
page 3	UNEASY FEELING IN FORMOSA.
page 3	EGYPT.
page 3	THE ADDRESS.
page 3	THE PEACE NEGOTIATIONS.
page 3	FRENCH MILITARY AFFAIRS.
page 3	BRIBERY AND CORRUPTION.
page 3	TUNISIAN COMMERCE.
page 3	EMPEROR OF AUSTRIA.
page 3	FRENCH TROOPS FOR MADAGASCAR.
page 3	THE CHINA JAPAN WAR.
page 3	WEIHAIWEI SURRENDERS.
page 3	DESTRUCTIVE DELAYS.
page 3	FIGHTING NEAR CHEFOO.
page 3	CHEFOO.
page 3	THE RED CROSS HOSPITAL.
