page 2	THE address of Captain Harris to the British Mercantile; Marine Officers' Association, of which he is now President, serves to remipd us of an Institution which has been undergoing varied vicissitudes.
page 3	THE CHINA-JAPAN WAR.
page 3	ADMIRAL FREMANTLE'S SUCOESSOR.
page 3	GENERAL BARKER'S SUCCESSOR.
page 3	RUSSIA'S FOREIGN MINISTER.
page 3	FRANCE AND GERMANY.
page 3	THE DISSENSIONS AT WEIHAIWEI CHINESE ARTILLERY FOUGHT WELL.
page 3	MR THOMAS ARRESTED.
page 3	WESTERN FORTS DESTROYED BY MR HOWARD.
page 3	MUTINY AND EXECUTION OF CHINESE SOLDIERS.
page 3	PROBABLE ATTACK ON SHANHAIKWAN.
