page 2	THE Captain Superintendent of police attacks a well-worn theme when he refers in his annual report to 'The Chinese servant question.' We have heard some old residents, who can scarcely be accused.
page 3	MORE REINFORCEMENTS FOR THE RUSSIAN PACIFIC SQUADRON.
page 3	FIGHTING IN THE PHILIPPINES.
page 3	RUMOURS OF ANOTHER CHINESE LOAN.
page 3	RESIGNATION OF THE SPANISH CABINET.
page 3	DESTRUCTIVE STORM IN PROVINCE WELLESLEY.
page 3	THE DEFIANCE OF WEIHAIWEI BEFORE AND AFTER THE FIGHT NARRATIVE BY ONE OF THE DEFENDERS.
page 3	'TREATED LIKE LITTLE KINGS.'
page 3	THE OTHER SIDE OF THE SHIELD.
page 3	BRUTES MIS-NAMED SOLDIERS.
page 3	BRAVERY OF THE CHINESE SAILORS.
page 3	EVERYTHING GONE EXCEPT THE SARDINES AND WHISKY!
page 3	THE PEACE MISSION.
page 3	THE PEACE CONFERENCE.
page 3	THE PEACE MISSION.
page 3	THE DEFENCES OF CANTON.
page 3	NEWS OF WEIHAIWEI.
page 3	HANKERING AFTER FORMOSA.
