page 2	WE understand that the Hon. J. Stewart Lock hart has been appointed to the post of Colonial Secretary, in addition to his present appointment of Registrar General and Protector of Chinese. In making.
page 3	THE JAPANESE IN SOUTH CHINA.
page 3	STRANGE OCCURRENCE IN THE GERMAN REICHSTAG.
page 3	THE ATTEMPT TO ASSASSINATE LI HUNG CHANG.
page 3	TERRIFIC GALES IN GREAT BRITAIN.
page 3	TERRIBLE COLLIERY EXPLOSION IN SILESIA.
page 3	RESIGNATION OF THE SPANISH MINISTRY.
page 3	THE GOVERNOR OF MADRID.
page 3	THE ORLEANS FAMILY.
page 3	THE SPANISH NAVAL DISASTER.
page 3	LI HUNG CHANG IN JAPAN.
page 3	ATTEMPTED ASSASSINATION.
page 3	REPORTED CAPTURE OF THE PESCADORES.
page 3	LATEST NEWS OF LI HUNG CHANG.
page 3	THE LATEST NEWS FROM JAPAN.
page 3	ANXIETY ABOUT NEWCHWANG.
page 3	THE PEACE MISSION.
page 3	THE FORMOSA EXPEDITION.
page 3	MUTINY ON A CHINESE MAN OF WAR.
page 3	THE CHINESE ENVOY - PRECAUTIONS FOR SAFETY.
page 3	THE FLAG TRICK.
page 3	STILL ON THE WAR-PATH.
page 3	INSUBORDINATION IN THE 3RD BURMA BATTALION.
page 3	FRANCE AND MADAGASCAR.
page 3	ISMAIL PACHA.
page 3	THE COUNTY COUNCIL ELECTIONS.
page 3	MILITARY APPOINTMENTS.
page 3	THE SPEAKER.
page 3	OBITUARY.
page 3	PROCEEDINGS IN PARLIAMENT.
page 3	THE CROWN PRINCE OF SIAM.
page 3	THE INFLUENZA.
page 3	LORD HARRIS.
page 3	MILITARY RELIEFS.
page 3	THE RAILWAY OUTRAGE.
page 3	THE DUKE OF CONNAUGHT.
page 3	ARMY RECRUITING.
page 3	THE BEHRING SEA QUESTION.
page 3	THE ARMY AND NAVY ESTIMATES.
page 3	GREAT FIRE AT PORT OF SPAIN.
