page 2	IT must be admitted that the Hon. T. H. Whitehead has shown the most laudable persistence in pushing forward the claims of the Hongkong petitioners for a greater share of popular representation.
page 3	THE CRISIS IN FORMOSA.
page 3	THE TROUBLE IN FORMOSA.
page 3	FRANCE AND THE EVACUATION OF EGYPT.
page 3	MR. GLADSTONE AT HAMBURG RN ROUTE FOR KIEL.
page 3	ITALY AND ABYSSINIA.
page 3	ILLNESS OF MR GLADSTONE.
page 3	ITALIAN POLITICS.
page 3	VOTE OF CONFIDENCE IN THE FRENCH GOVERNMENT.
page 3	GRECIAN POLITICS.
page 3	MADAGASCAR.
page 3	TROUBLES IN SICILY.
page 3	THE IMPRISONED MISSIONARIES AT CHENGTU.
page 3	CRICKET AT HOME.
page 3	THE WEST EDINBURGH ELECTION INCREASED MAJORITY.
page 3	THE PAMIR COMMISSION.
page 3	CHITRAL AFFAIRS.
page 3	PHENOMENAL HEAT.
page 3	THE MEDITERRANRAN SQUADRON.
page 3	THE BIMETALLIC QUESTION.
