page 2	PRACTICALLY speaking, the General Election is over. Up to date, the result of the fight in 665 constituencies has come to hand, and these figures show a preponderating force for the.
page 3	THE RISING IN MACEDONIA.
page 3	THE CHITRAL EXPEDITION HONOURS.
page 3	INTER-UNIVERSITY SPORTS.
page 3	POLITICS IN THE UNITED STATES.
page 3	A DIVORCE SUIT.
page 3	MR GLADSTONE'S FAREWELL ADDRESS.
page 3	THE NEW SECRETARY OF STATE FOR THE COLONIES CONGRATULATED.
page 3	OBJECTIONS TO MR CHAMBERLAIN'S FRIENDS.
page 3	COMMITTEE OF IMPERIAL DEFENCE.
page 3	IRISH LAND LEGISLATION.
page 3	LAUNCH OF THE P. AND O. 'SUNDA.'
page 3	THE BRITISH REVENUE.
page 3	STRIKE IN THE TIN-PLATE TRADE.
page 3	AN INFERNAL MACHINE.
page 3	THE AMERICAN DEFICIT.
page 3	THE PACIFIC CABLE.
page 3	TRADE OF THE UNITED KINGDOM.
page 3	PAUPER IMMIGRATION.
page 3	THE CHITRAL DECISION.
page 3	A PLOT AGAINST THE CZAR.
page 3	WESTERN AUSTRALIA.
page 3	THE NEW ADMINISTRATION.
page 3	THE 'RINGAROOMA' COURT MARTIAL.
page 3	KEROSENE SHIP BURNT.
page 3	A HEAVY FINE.
page 3	A FUTILE APPEAL.
page 3	DEVASTATING CYCLONE.
page 3	A PLUCKY ACT.
page 3	GALLANT MEN LOSE THEIR LIVES.
page 3	SIR REDVERS BULLER.
page 3	THE ENGLISH TEAM WINS THE KOLAPORE.
page 3	THE CHITRAL HONOURS.
page 3	ENGLISH CRICKET. -- THE UNIVERSITY MATCH.
page 3	ENGLAND WINS THE ELCHO SHIELD.
page 3	TURKEY GIVES BACK TERRITORY TO BULGARIA.
page 3	THE KHEDIVE VISITS THE SULTAN.
page 3	DEATH OF THE MARGUIS OF EXETER.
page 3	THE ELECTIONS -- UNOPPOSED RETURNS.
page 3	TIENTSIN.
