page 2	DEALING with the junk and steamer trade between Hongkong and Canton, Mr Byron Brenan, the British representative at Canton, wrote in a Consular Report, some considerable time.
page 3	THE EARTHQUAKE.
page 3	LI HUNG CHANG.
page 3	GREAT BRITAIN AND FRANCE.
page 3	GREAT BRITAIN'S FOREIGN POLICY.
page 3	ILLNESS OF THE CROWN PRINCE OF JAPAN.
page 3	JAPAN AND SPAIN.
page 3	THE DELIMITATION OF BOUNDARIES.
page 3	THE NEW COMMANDER IN CHIEF.
page 3	FRANCE AND ITALY.
page 3	FRANCE ITALY, AND TUNIS.
page 3	THE FRENCH IN MADAGASCAR.
page 3	REVIEW OF THE FRENCH FLEST.
page 3	MONUMENT TO WILLIAM I. OF GERMANY.
page 3	RUSSIA, FRANCE, AND GERMANY.
page 3	THE ATTEMPT ON THE LIFE OF BARON ROTHSCHILD.
page 3	SAVED FROM THE SEA.
page 3	THE 'AURANIA' ACCIDENT.
page 3	THE 'DEFENDER' AGAIN VICTORIOUS.
page 3	THE SEIZURE OF TRINIDAD.
page 3	NINE PERSONS DROWNED.
page 3	A MONETARY AGREEMENT.
page 3	A NEW REVOLUTIONARY ORGANIZATION.
page 3	BRITISH MARKERS.
page 3	THE RESIGNATION OF THE DUKE OF CAMBRIDGE.
page 3	TURKS AND PERSIANS FIGHT.
page 3	CHEERED TUE 'VALKYRIE' OFF.
page 3	SPEEDY RUN OF A U.S. CRUISER.
page 3	A LONDON SPORT WANTS PETER JACKSON TO MEET CORBETT.
