page 2	HONGKONG is often spoken of as likely to be developed into a manufacturing centre, being the only place practically in China where the fostering care of a civilised Government. As tar as .
page 3	ROBBERY IN CANTON CITY.
page 3	TWO MEN KILLED.
page 3	INTERNATIONAL UNIVERSITY ATHLETIC SPORTS.
page 3	THE POWERS TURKEY AND TRE RECENT RIOTS.
page 3	THE TSUNGLI YAMEN.
page 3	THE FRANCO CHINESE CONVENTION.
page 3	THE PLOT AOAINST MARQUIS ITO.
page 3	COUNT MUTSU.
page 3	ATTEMPTED BUICIDE OF A LICUTENANT.
page 3	THE LIAO - TUNG CONFERENCE.
page 3	THE RETURN OF THE MINGS.
page 3	A POSTHUMOUS HONOUR.
